id_file	file	page	page_typo	page_typo	date	pv
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-09-01	4
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-10-01	5
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-11-01	10
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-12-01	6
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2018-01-01	6
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2018-02-01	12
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2018-03-01	16
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2018-04-01	4
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2018-05-01	1
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2018-06-01	2
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-04-01	2
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-05-01	2
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-06-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-07-01	2
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-08-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-09-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-10-01	5
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-11-01	2
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2016-12-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-01-01	6
