id	file	title	date	place	medium	dimensions	width	height	photographer
4243	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-06.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4244	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-07.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4245	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-08.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4246	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-09.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4247	File:ETH-BIB-Flugzeug im Flug über einem Gebäude-Abessinienflug 1934-LBS MH02-22-1166.tif	Flugzeug im Flug über einem Gebäude	ca. 2/1934	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4248	File:ETH-BIB-Flugzeug im Flug über einem Wald-Abessinienflug 1934-LBS MH02-22-1161.tif	Flugzeug im Flug über einem Wald	ca. 2/1934	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4249	File:ETH-BIB-Flugzeug im Flug über einer Siedlung-Abessinienflug 1934-LBS MH02-22-1167.tif	Flugzeug im Flug über einer Siedlung	ca. 2/1934	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4250	File:ETH-BIB-Flugzeug im Flug über einer Siedlung-Abessinienflug 1934-LBS MH02-22-1169.tif	Flugzeug im Flug über einer Siedlung	ca. 2/1934	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4251	File:ETH-BIB-Flugzeug im Flug über einer Siedlung-Abessinienflug 1934-LBS MH02-22-1171.tif	Flugzeug im Flug über einer Siedlung	ca. 2/1934	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4252	File:ETH-BIB-Flugzeug in der Wüste vor Zelten und Tieren-Tschadseeflug 1930-31-LBS MH02-08-1075.tif	Flugzeug in der Wüste vor Zelten und Tieren	1930-1931	Marokko	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4253	File:ETH-BIB-Flugzeug in der Wüste-Nordafrikaflug 1932-LBS MH02-13-0218.tif	Flugzeug in der Wüste	1932-1932	Béni Abbès	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4254	File:ETH-BIB-Flugzeug in der Wüste-Nordafrikaflug 1932-LBS MH02-13-0227.tif	Flugzeug in der Wüste	1932-1932	Béni Abbès	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
