id	file	title	date	place	medium	dimensions	width	height	photographer
7713	File:ETH-BIB-Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina-Inlandflüge-LBS MH05-58-30.tif	Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina	26 October 1934	Graubünden; Piz Cambrena; Berninagruppe; Piz Bernina	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7714	File:ETH-BIB-Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina-Inlandflüge-LBS MH05-58-31.tif	Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina	26 October 1934	Graubünden; Piz Cambrena; Berninagruppe; Piz Bernina	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7715	File:ETH-BIB-Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina-Inlandflüge-LBS MH05-58-32.tif	Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina	26 October 1934	Graubünden; Piz Cambrena; Berninagruppe; Piz Bernina	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7716	File:ETH-BIB-Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina-Inlandflüge-LBS MH05-58-33.tif	Lago Bianco, Piz Cambrena, Piz Palü, Piz Bernina	26 October 1934	Graubünden; Piz Cambrena; Berninagruppe; Piz Bernina	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7717	File:ETH-BIB-Lago di Lugano, Magliaso, Ponte-Inlandflüge-LBS MH01-001073.tif	Lago di Lugano, Magliaso, Ponte	1919	Magliaso	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7718	File:ETH-BIB-Lago di Lugano-Weitere-LBS MH02-21-0016.tif	-	16.08.33	Luganer See; Tessin	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
7719	File:ETH-BIB-Lago di Lugano-Weitere-LBS MH02-21-0017.tif	-	16.08.33	Luganer See; Tessin	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
7720	File:ETH-BIB-Lago di Molvena, Brentagruppe-Weitere-LBS MH05-51-21.tif	Lago di Molvena, Brentagruppe	July 1934	Brentagruppe; Italien	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7721	File:ETH-BIB-Lago di Montespluga-Inlandflüge-LBS MH05-50-11.tif	Lago di Montespluga	July 1934	Graubünden; Italien	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7722	File:ETH-BIB-Lago di Montespluga-Inlandflüge-LBS MH05-50-12.tif	Lago di Montespluga	July 1934	Graubünden; Italien	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7723	File:ETH-BIB-Lago di Muzzano und Lago di Lugano, Blick Richtung Südwest-Weitere-LBS MH02-21-0014.tif	-	16.08.33	Agno; Luganer See; Lago di Muzzano	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7724	File:ETH-BIB-Lago di Nemi -Nemisee--Kilimanjaroflug 1929-30-LBS MH02-07-0396.tif	Lago di Nemi [Nemisee]	15 December 1929	Latium	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7725	File:ETH-BIB-Lago di Poschiavo, Poschiavo v. S. O. aus 1700 m-Inlandflüge-LBS MH01-005092.tif	Lago di Poschiavo, Poschiavo v. S. O. aus 1700 m	1925	Poschiavo	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7726	File:ETH-BIB-Lago di Poschiavo, Poschiavo, Berninapass v. S. O. aus 1700 m-Inlandflüge-LBS MH01-005091.tif	Lago di Poschiavo, Poschiavo, Berninapass v. S. O. aus 1700 m	1925	Poschiavo	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7727	File:ETH-BIB-Lago Maggiore mit Luino, Blickrichtung West (W)-Inlandflüge-LBS MH01-007379.tif	-	05.07.33	Lago Maggiore	Fotografie : Negativ	10 x 12 cm (4 x 5'')	12	10	-
7728	File:ETH-BIB-Lago Maggiore, Höhe Maggiadelta, Gambarogno, Blickrichtung West (W)-Inlandflüge-LBS MH01-007416.tif	Lago Maggiore, Höhe Maggiadelta, Gambarogno, Blickrichtung West (W)	08.08.33	Lago Maggiore; Gambarogno; Maggiadelta	Fotografie : Negativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
7729	File:ETH-BIB-Lago Maggiore, Lago Mergozzo, Gravellona Toce (Italien)-Inlandflüge-LBS MH05-18-32.tif	Lago Maggiore, Lago Mergozzo, Gravellona Toce (Italien)	02.10.34	Lago Maggiore; Italien	Fotografie : Negativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
7730	File:ETH-BIB-Lago Maggiore, Verbania-Inlandflüge-LBS MH05-18-33.tif	Lago Maggiore, Verbania	02.10.34	Lago Maggiore; Italien	Fotografie : Negativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
7731	File:ETH-BIB-Lago Maggiore-Inlandflüge-LBS MH05-18-34.tif	Lago Maggiore	02.10.34	Lago Maggiore; Italien	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
7732	File:ETH-BIB-Lago Maggiore-Inlandflüge-LBS MH05-18-35.tif	Lago Maggiore	02.10.34	Lago Maggiore; Italien	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7733	File:ETH-BIB-Lago Maggiore-Inlandflüge-LBS MH05-18-36.tif	Lago Maggiore	02.10.34	Lago Maggiore; Italien	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7734	File:ETH-BIB-Laguna di Venezia von N. aus 2000 m Höhe (Brentakanal)-Weitere-LBS MH02-06-0024.tif	Laguna di Venezia von N. aus 2000 m Höhe (Brentakanal)	01.09.28	Venetien; Lagune von Venedig; Adriatisches Meer	Fotografie : Negativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
7735	File:ETH-BIB-Laguna mit Chioggia von W. aus 2000 m Höhe-Weitere-LBS MH02-06-0023.tif	Laguna mit Chioggia von W. aus 2000 m Höhe	01.09.28	Venetien; Lagune von Venedig; Adriatisches Meer	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7736	File:ETH-BIB-Lagune von Venedig, mit Burano im Hintergrund-Weitere-LBS MH02-39-0011.tif	Lagune von Venedig, mit Burano im Hintergrund	1934	Lagune von Venedig; Venedig	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7737	File:ETH-BIB-Lampenberg, Hölstein v. N. aus 3000 m-Inlandflüge-LBS MH01-003304.tif	Lampenberg, Hölstein v. N. aus 3000 m	06.04.05	Lampenberg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7738	File:ETH-BIB-Landgut Cherkley Court, Leatherhead-Weitere-LBS MH02-42-0001.tif	Landgut Cherkley Court, Leatherhead	circa 1935	Surrey	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7739	File:ETH-BIB-Landgut Cherkley Court, Leatherhead-Weitere-LBS MH02-42-0002.tif	Landgut Cherkley Court, Leatherhead	circa 1935	Surrey	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7740	File:ETH-BIB-Landgut Cherkley Court, Leatherhead-Weitere-LBS MH02-42-0035.tif	Landgut Cherkley Court, Leatherhead	circa 1935	Surrey	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7741	File:ETH-BIB-Landgut Cherkley Court, Leatherhead-Weitere-LBS MH02-42-0052.tif	Landgut Cherkley Court, Leatherhead	circa 1935	Surrey	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7742	File:ETH-BIB-Landquart, Jeinins, Malans, Maienfeld, Bad Ragaz v. S. aus 3000 m-Inlandflüge-LBS MH01-005929.tif	Landquart, Jeinins, Malans, Maienfeld, Bad Ragaz v. S. aus 3000 m	1929	Landquart	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7743	File:ETH-BIB-Landquart, Maienfeld, Fläscherberg, Luziensteig v. S. aus 600 m-Inlandflüge-LBS MH01-003880.tif	Landquart, Maienfeld, Fläscherberg, Luziensteig v. S. aus 600 m	1923	Landquart	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7744	File:ETH-BIB-Landquart, Malans, Igis, Zizers, Grüsch, Prättigau-Inlandflüge-LBS MH01-003010.tif	Landquart, Malans, Igis, Zizers, Grüsch, Prättigau	1923	Landquart	Fotografie : Glasplattennegativ	6 x 7 cm	7	6	Walter Mittelholzer
7745	File:ETH-BIB-Landquart, Mastrils v. S. aus 400 m-Inlandflüge-LBS MH01-003838.tif	Landquart, Mastrils v. S. aus 400 m	1923	Landquart	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7746	File:ETH-BIB-Landquart, Papierfabrik am Mülbach-Inlandflüge-LBS MH03-1499.tif	Landquart, Papierfabrik am Mülbach	1918-1937	Landquart	Fotografie : Silbergelatine-Abzug	6 x 6 cm	6	6	Walter Mittelholzer
7747	File:ETH-BIB-Landquart, Papierfabrik am Mülbach-Inlandflüge-LBS MH03-1735.tif	-	1918-1937	Landquart	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	-
7748	File:ETH-BIB-Landquart, Papierfabrik am Mülbach-Inlandflüge-LBS MH03-1801.tif	-	1918-1937	Landquart	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	-
7749	File:ETH-BIB-Landsberg, an der Lech-Inlandflüge-LBS MH01-003979.tif	Landsberg, an der Lech	1923	Landsberg am Lech	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7750	File:ETH-BIB-Landsberg, an der Lech-Inlandflüge-LBS MH01-003980.tif	Landsberg, an der Lech	1923	Landsberg am Lech	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7751	File:ETH-BIB-Landsberg, an der Lech-Inlandflüge-LBS MH01-003982.tif	Landsberg, an der Lech	1923	Landsberg am Lech	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7752	File:ETH-BIB-Landsberg, Liesberg, Birstal v. O. aus 900 m-Inlandflüge-LBS MH01-006033.tif	Landsberg, Liesberg, Birstal v. O. aus 900 m	1930	Landsberg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7753	File:ETH-BIB-Landsberg-Inlandflüge-LBS MH01-003989.tif	Landsberg	06.04.05	Landsberg am Lech	Fotografie : Glasplattennegativ	9 x 12 cm	12	9	Walter Mittelholzer
7754	File:ETH-BIB-Landschaft Abessiniens-Abessinienflug 1934-LBS MH02-22-0504.tif	Landschaft Abessiniens	ca. 3/1934	Äthiopien	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7755	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0328.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7756	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0788.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
7757	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0789.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7758	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0803.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7759	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0804.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7760	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0808.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7761	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0809.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7762	File:ETH-BIB-Landschaft aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0968.tif	Landschaft aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7763	File:ETH-BIB-Landschaft bei Lorestan-Persienflug 1924-1925-LBS MH02-02-0050-AL-FL.tif	-	March 1925	Iran	Fotografie : Papierabzug, auf Papier montiert	13 x 18 cm	18	13	-
7764	File:ETH-BIB-Landschaft gesehen aus HB-ILO-Weitere-LBS MH05-89-15.tif	Landschaft gesehen aus HB-ILO	1931-1937	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
7765	File:ETH-BIB-Landschaft gesehen aus HB-ILO-Weitere-LBS MH05-89-16.tif	Landschaft gesehen aus HB-ILO	1931-1937	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
7766	File:ETH-BIB-Landschaft gesehen aus HB-ILO-Weitere-LBS MH05-89-18.tif	Landschaft gesehen aus HB-ILO	1931-1937	-	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
7767	File:ETH-BIB-Landschaft im Napf, Hornbachgraben-Inlandflüge-LBS MH01-003218.tif	-	1923	Urner Alpen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	-
7768	File:ETH-BIB-Landschaft in Afrika-Kilimanjaroflug 1929-30-LBS MH02-07-0264.tif	Landschaft in Afrika	1930-1930	Afrika	Fotografie : Negativ	6 x 7 cm	7	6	Walter Mittelholzer
7769	File:ETH-BIB-Landschaft in der Provinz Guadalajara aus 1000 m Höhe-Mittelmeerflug 1928-LBS MH02-05-0071.tif	Landschaft in der Provinz Guadalajara aus 1000 m Höhe	May 1928	Spanien	Fotografie : Negativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
7770	File:ETH-BIB-Landschaft in der Provinz Guadalajara aus 1000 m Höhe-Mittelmeerflug 1928-LBS MH02-05-0072.tif	Landschaft in der Provinz Guadalajara aus 1000 m Höhe	May 1928	Spanien	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7771	File:ETH-BIB-Landschaft mit ein paar Hügeln aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0216.tif	Landschaft mit ein paar Hügeln aus der Luft	1930-1931	-	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
7772	File:ETH-BIB-Landschaft mit einem Fluss aus der Luft-Tschadseeflug 1930-31-LBS MH02-08-0967.tif	Landschaft mit einem Fluss aus der Luft	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7773	File:ETH-BIB-Landschaft mit Einschnitten-Spalten und Vulkan im Hintergrund-Kilimanjaroflug 1929-30-LBS MH02-07-0531.tif	-	1930-1930	Afrika	Fotografie : Negativ	Spezialmass	-	-	Walter Mittelholzer
7774	File:ETH-BIB-Landschaft mit vielen Einschnitten und Faltungen-Kilimanjaroflug 1929-30-LBS MH02-07-0535.tif	Landschaft mit vielen Einschnitten und Faltungen	1930-1930	-	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7775	File:ETH-BIB-Landschaft nördlich des Guadalquivir aus 2000 m Höhe-Mittelmeerflug 1928-LBS MH02-05-0050.tif	-	May 1928	Spanien	Fotografie : Negativ	13 x 18 cm	18	13	-
7776	File:ETH-BIB-Landschaft von Arosa, Welschtobel, Schanfigg, Piz Beverin v. O. aus 4000 m-Inlandflüge-LBS MH01-001530.tif	-	1919	Arosa	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	-
7777	File:ETH-BIB-Landschaft von Carmona südlich des Guadalquivir aus 2000 m Höhe-Mittelmeerflug 1928-LBS MH02-05-0049.tif	Landschaft von Carmona südlich des Guadalquivir aus 2000 m Höhe	May 1928	Spanien	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7778	File:ETH-BIB-Landschaft zwischen Alpen bis Tunis-Nordafrikaflug 1932-LBS MH02-13-0029.tif	Landschaft zwischen Alpen bis Tunis	1932-1932	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7779	File:ETH-BIB-Landschaft zwischen London und Zaragoza-Weitere-LBS MH02-41-0006.tif	-	17.05.35	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7780	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0013.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7781	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0014.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7782	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0016.tif	-	1934-1934	France	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7783	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0018.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7784	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0023.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7785	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0024.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7786	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0025.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7787	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0026.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7788	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0027.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7789	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0028.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7790	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0031.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7791	File:ETH-BIB-Landschaft zwischen Zürich und Biarritz-Weitere-LBS MH02-23-0033.tif	-	1934-1934	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7792	File:ETH-BIB-Landschaft zwischen Zürich und Istanbul-Weitere-LBS MH02-25-0060.tif	Landschaft zwischen Zürich und Istanbul	28.06.34	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7793	File:ETH-BIB-Landschaft zwischen Zürich und Istanbul-Weitere-LBS MH02-25-0070.tif	Landschaft zwischen Zürich und Istanbul	28.06.34	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7794	File:ETH-BIB-Landschaft zwischen Zürich und Istanbul-Weitere-LBS MH02-25-0071.tif	Landschaft zwischen Zürich und Istanbul	28.06.34	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7795	File:ETH-BIB-Landschaft zwischen Zürich und Istanbul-Weitere-LBS MH02-25-0072.tif	Landschaft zwischen Zürich und Istanbul	28.06.34	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7796	File:ETH-BIB-Landschaft zwischen Zürich und London-Weitere-LBS MH02-43-0043.tif	-	08.07.35	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7797	File:ETH-BIB-Landschaft zwischen Zürich und London-Weitere-LBS MH02-43-0044.tif	-	08.07.35	Europa	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7798	File:ETH-BIB-Landschaft zwischen Zürich und Wien-Weitere-LBS MH02-20-0024.tif	-	21.06.33	Alpen; Österreich	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7799	File:ETH-BIB-Landschaft zwischen Zürich und Wien-Weitere-LBS MH02-20-0025.tif	-	21.06.33	Alpen; Österreich	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7800	File:ETH-BIB-Landschaft zwischen Zürich und Wien-Weitere-LBS MH02-20-0026.tif	-	21.06.33	Alpen; Österreich	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
7801	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0016.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7802	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0017.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7803	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0018.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7804	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0022.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7805	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0023.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7806	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0024.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7807	File:ETH-BIB-Landschaft zwischen Zürich und Zlin-Weitere-LBS MH02-30-0025.tif	Landschaft zwischen Zürich und Zlin	August 1934	Europa	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
7808	File:ETH-BIB-Landschaftsansicht-Tschadseeflug 1930-31-LBS MH02-08-0964.tif	Landschaftsansicht	1930-1931	Afrika	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7809	File:ETH-BIB-Landzunge zwischen Tunis und Algier-Nordafrikaflug 1932-LBS MH02-13-0073.tif	Landzunge zwischen Tunis und Algier	1932-1932	Algerien; Tunesien	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7810	File:ETH-BIB-Langenbruck, Schwängi v. N. aus 2500 m-Inlandflüge-LBS MH01-003157.tif	Langenbruck, Schwängi v. N. aus 2500 m	06.04.05	Langenbruck	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7811	File:ETH-BIB-Langenbruck, Schwängi v. W. aus 2500 m-Inlandflüge-LBS MH01-003156.tif	Langenbruck, Schwängi v. W. aus 2500 m	1923	Langenbruck	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7812	File:ETH-BIB-Langendorf, Uhrenfabrik Kottmann-Inlandflüge-LBS MH03-0607.tif	Langendorf, Uhrenfabrik Kottmann	18 October 1930	Langendorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7813	File:ETH-BIB-Langendorf, Uhrenfabrik Kottmann-Inlandflüge-LBS MH03-0608.tif	Langendorf, Uhrenfabrik Kottmann	18 October 1930	Langendorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7814	File:ETH-BIB-Langensee, Locarno, Ebene von Magadino, Flückiger, Otto- Die Schweiz aus der Vogelschau. Erlenbach-Zürich - Eugen Rentsch, 1926, Abbildungs-Nr. xx, Gordola, Centovalli-Inlandflüge-LBS MH01-001347.tif	-	1919	Tessiner Alpen; Locarno; Lago Maggiore	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	-
7815	File:ETH-BIB-Langenthal aus 100 m-Inlandflüge-LBS MH01-002210.tif	Langenthal aus 100 m	1919	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7816	File:ETH-BIB-Langenthal v. O. aus 1000 m-Inlandflüge-LBS MH01-003203.tif	Langenthal v. O. aus 1000 m	1923	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7817	File:ETH-BIB-Langenthal, Brauerei Langenthal, Gebrüder Baumberger AG-Inlandflüge-LBS MH03-0611.tif	Langenthal, Brauerei Langenthal, Gebrüder Baumberger AG	1918-1937	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7818	File:ETH-BIB-Langenthal, Bützberg v. O. aus 1000 m-Inlandflüge-LBS MH01-003202.tif	Langenthal, Bützberg v. O. aus 1000 m	1923	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7819	File:ETH-BIB-Langenthal, Hector Egger Bauunternehmen-Holzbau-Inlandflüge-LBS MH03-0615.tif	Langenthal, Hector Egger Bauunternehmen/Holzbau	22 November 1924	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7820	File:ETH-BIB-Langenthal, Lotzwil v. N. aus 2000 m-Inlandflüge-LBS MH01-003261.tif	Langenthal, Lotzwil v. N. aus 2000 m	1923	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7821	File:ETH-BIB-Langenthal, Porzellanfabrik Langenthal-Inlandflüge-LBS MH03-0546.tif	Langenthal, Porzellanfabrik Langenthal	1918-1937	Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
7822	File:ETH-BIB-Langenthal, Porzellanfabrik Langenthal-Inlandflüge-LBS MH03-1391.tif	Langenthal, Porzellanfabrik Langenthal	1918-1937	Langenthal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
7823	File:ETH-BIB-Langenthal, Porzellanfabrik Langenthal-Inlandflüge-LBS MH03-1392.tif	Langenthal, Porzellanfabrik Langenthal	1918-1937	Langenthal	Fotografie : Silbergelatine-Abzug	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
7824	File:ETH-BIB-Langenthal, Porzellanfabrik-Inlandflüge-LBS MH03-0609.tif	Langenthal, Porzellanfabrik	03.09.34	Langenthal	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7825	File:ETH-BIB-Langenthal, Porzellanfabrik-Inlandflüge-LBS MH03-0610.tif	Langenthal, Porzellanfabrik	03.09.34	Langenthal	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7826	File:ETH-BIB-Langenthal, Porzellanfabrik-Inlandflüge-LBS MH03-1839.tif	Langenthal, Porzellanfabrik	1918-1937	Langenthal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	12	9	Walter Mittelholzer
