File:CH-NB - 1798-1803, Einquartierung fremder Truppen - Collection Gugelmann - GS-GUGE-HESS-D-E-1.tif	2015-02-28T10:01:53Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Billeting in art|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|David Hess|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland	45596616	5344	3639	NIKON CORPORATION
File:CH-NB - 1798-1803, Einquartierung fremder Truppen - Collection Gugelmann - GS-GUGE-HESS-D-E-2.tif	2015-02-28T10:01:51Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Billeting in art|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|David Hess|Farmhouses in Switzerland in art|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland|Sexual harassment in art|Tiled stoves in art	46545082	5346	3643	NIKON CORPORATION
File:CH-NB - 1802, Erste und zweite Beschiessung von Zürich 10. und 12.-13. Sept. - Collection Gugelmann - GS-GUGE-BEYEL-A-1.tif	2015-03-30T13:23:36Z	Swiss National Library	Public domain	1802 etchings|1802 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Daniel Beyel|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland|Night in Zürich|Wars of Switzerland|Zürich in the 1800s	77764172	6142	4219	Phase One
File:CH-NB - 1802, Erste und zweite Beschiessung von Zürich 10. und 12.-13. Sept. - Collection Gugelmann - GS-GUGE-BEYEL-A-2.tif	2015-03-30T13:24:22Z	Swiss National Library	Public domain	1802 engravings|1802 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Daniel Beyel|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland|Wars of Switzerland|Zürich in the 1800s	78373080	6142	4252	Phase One
File:CH-NB - 1802, Zweite Beschiessung von Zürich, 12. und 13. September - Collection Gugelmann - GS-GUGE-KELLER-H-E-7.tif	2015-03-31T08:25:17Z	Swiss National Library	Public domain	1802 etchings|1802 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Heinrich Keller|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland|Wars of Switzerland|Zürich in the 1800s	39777338	4813	3494	NIKON CORPORATION
File:CH-NB - Aarau, Gerechtigkeitsbrunnen, vue partielle - Collection Max van Berchem - EAD-7065.tif	2016-01-14T12:50:17Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Gerechtigkeitsbrunnen (Aarau)|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library	19599876	3744	5228	Canon
File:CH-NB - Aarau, Gerechtigkeitsbrunnen, vue partielle - Collection Max van Berchem - EAD-7066.tif	2016-01-14T12:50:16Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Gerechtigkeitsbrunnen (Aarau)|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library	19780384	3744	5276	Canon
File:CH-NB - Aarau, Gesamtansicht von Westen - Collection Gugelmann - GS-GUGE-BLEULER-B-1.tif	2015-03-27T09:56:01Z	Kelson	Public domain	1810 engravings|1810 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of Aarau|Johann Heinrich Bleuler|Media contributed by the Swiss National Library	79110412	6142	4292	Phase One
File:CH-NB - Aarau, Gesamtansicht von Westen - Collection Gugelmann - GS-GUGE-LORY-C-1.tif	2015-03-27T09:56:20Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Barthlome Fehr|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Gabriel Lory|Historical images of Aarau|Marquard Wocher|Media contributed by the Swiss National Library	38108368	5700	4185	NIKON CORPORATION
File:CH-NB - Aarau, Haus zum Erker, vue partielle - Collection Max van Berchem - EAD-7061.tif	2016-01-14T12:43:20Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Haus zum Erker|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library	19988820	3814	5234	Canon
File:CH-NB - Aarau, Haus zum Erker, vue partielle - Collection Max van Berchem - EAD-7062.tif	2016-01-14T12:43:20Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Haus zum Erker|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library	19878812	3793	5234	Canon
File:CH-NB - Aarau, Haus, Fassade, vue partielle - Collection Max van Berchem - EAD-7064.tif	2016-01-14T12:43:20Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|Buildings in Aarau|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library	19394036	5173	3744	Canon
File:CH-NB - Aarau, Saxer-Haus, vue partielle - Collection Max van Berchem - EAD-7063.tif	2016-01-14T12:43:20Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library|Saxer-Haus	19401016	5175	3744	Canon
File:CH-NB - Aarau, Schloss und Stadtmauer, vue partielle - Collection Max van Berchem - EAD-7060.tif	2016-01-14T12:43:19Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library|Schlössli Aarau	19629552	3744	5235	Canon
File:CH-NB - Aarau, Stadtmauer, vue partielle - Collection Max van Berchem - EAD-7059.tif	2016-01-14T12:42:14Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library|Schlössli Aarau	19615220	3744	5232	Canon
File:CH-NB - Aarau, Turm, Fassade, vue partielle - Collection Max van Berchem - EAD-7058.tif	2016-01-14T12:42:14Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library|Oberer Turm, Aarau	19382772	3769	5136	Canon
File:CH-NB - Aarau, Turm, vue partielle extérieure - Collection Max van Berchem - EAD-7057.tif	2016-01-14T12:42:13Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 70 years ago public domain images|CC-PD-Mark|CH-NB-Max van Berchem|GWToolset Batch Upload|Historical images of Aarau|Max van Berchem|Media contributed by the Swiss National Library|Oberer Turm, Aarau	19516104	3744	5206	Canon
File:CH-NB - Aarau, von Westen - Collection Gugelmann - GS-GUGE-TRACHSLER-F-23.tif	2015-03-23T16:40:37Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of Aarau|Media contributed by the Swiss National Library|Template Unknown (author)|Verlag Trachsler	41947920	5385	3813	NIKON CORPORATION
File:CH-NB - Aarberg, Pfarrhaus und Kirche - Collection Gugelmann - GS-GUGE-WEIBEL-D-1.tif	2015-03-23T16:41:04Z	Kelson	Public domain	1824 etchings|1824 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of Aarberg|Jakob Samuel Weibel|Media contributed by the Swiss National Library|Sammlung sämmtlicher Land-Pfarreyen des Cantons Bern	59280640	6045	4055	NIKON CORPORATION
