0	https://commons.wikimedia.org/w/api.php?action=parse&format=json&page=Category:Media contributed by the ETH-Bibliothek/Reports/improvement	File:Aettenschwil 1953.jpg
86	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-07.tiff	Commons:WikiProject Aviation/recent uploads/2017 February 9/Overflow 1	-	wikiproject	2483007	608551	24.5086300602
87	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-08.tiff	File:ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-08.tif	-	file	1160	93	8.01724137931
87	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-08.tiff	Commons:WikiProject Aviation/recent uploads/2017 February 9/Overflow 1	-	wikiproject	2483007	609757	24.5572002012
88	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-09.tiff	File:ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-09.tif	-	file	1160	93	8.01724137931
88	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-09.tiff	Commons:WikiProject Aviation/recent uploads/2017 February 9/Overflow 1	-	wikiproject	2483007	610963	24.6057703422
89	File:Dornier Do K ETH-BIB-Gruppe Männer vor Flugzeug-Inlandflüge-LBS MH05-72-10.tiff	File:ETH-BIB-Gruppe Männer vor Flugzeug-Inlandflüge-LBS MH05-72-10.tif	-	file	1192	93	7.80201342282
89	File:Dornier Do K ETH-BIB-Gruppe Männer vor Flugzeug-Inlandflüge-LBS MH05-72-10.tiff	Commons:WikiProject Aviation/recent uploads/2017 February 9/Overflow 1	-	wikiproject	2483007	613457	24.7062130715
91	File:Emosson Construction.jpg	User:Draemmli	-	user_page	21760	7555	34.7196691176
91	File:Emosson Construction.jpg	User:OgreBot/Uploads by new users/2017 June 07 19:30	-	user_page	519580	471545	90.7550329112
92	File:ETH Swissair LBS SR02-10259 Ausschnitt Klöti.tif	Commons:WikiProject Aviation/recent uploads/2018 January 9	-	wikiproject	320094	15364	4.79984004699
