id	fle	w	c	o	tot
192	File:ETH-BIB-Aarau, Abbruch der Kettenbrücke-LBS H1-011138.tif	0	1	0	1
193	File:ETH-BIB-Aarau, Altstadt aus 200 m-Inlandflüge-LBS MH01-002220.tif	1	1	0	2
194	File:ETH-BIB-Aarau, Altstadt v. W. aus 500 m-Inlandflüge-LBS MH01-000507.tif	0	1	0	1
199	File:ETH-BIB-Aarau, Altstadt-LBS H1-013056.tif	0	1	0	1
200	File:ETH-BIB-Aarau, Altstadt-LBS H1-013057.tif	0	1	0	1
201	File:ETH-BIB-Aarau, Altstadt-LBS H1-013058.tif	0	1	0	1
202	File:ETH-BIB-Aarau, Altstadt-LBS H1-013991.tif	0	1	0	1
203	File:ETH-BIB-Aarau, Altstadt-LBS H1-013992.tif	0	1	0	1
204	File:ETH-BIB-Aarau, Altstadt-LBS H1-014433.tif	0	1	0	1
205	File:ETH-BIB-Aarau, Altstadt-LBS H1-014434.tif	0	1	0	1
206	File:ETH-BIB-Aarau, Altstadt-LBS H1-016775.tif	0	1	0	1
207	File:ETH-BIB-Aarau, Altstadt-LBS H1-016776.tif	0	1	0	1
208	File:ETH-BIB-Aarau, Badeanstalt, E. W. Aarau-Inlandflüge-LBS MH01-006833.tif	0	1	0	1
209	File:ETH-BIB-Aarau, Bahnhof aus 100 m-Inlandflüge-LBS MH01-002194.tif	0	1	0	1
210	File:ETH-BIB-Aarau, Bahnhof aus 150 m-Inlandflüge-LBS MH01-002193.tif	0	1	0	1
211	File:ETH-BIB-Aarau, Bahnhof-LBS H1-015983.tif	0	1	0	1
212	File:ETH-BIB-Aarau, Bally Schuhfabrik, Küttingerstrasse 21-Inlandflüge-LBS MH03-1426.tif	0	1	0	1
213	File:ETH-BIB-Aarau, Betrieb an der Bachstrasse, Herosé-Stift-Inlandflüge-LBS MH03-0013.tif	0	1	0	1
217	File:ETH-BIB-Aarau, Dr. Lüscher-Inlandflüge-LBS MH03-0010.tif	0	1	0	1
218	File:ETH-BIB-Aarau, Eidgenössisches Turnfest Aarau-Inlandflüge-LBS MH01-006963.tif	0	1	0	1
219	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006962.tif	0	1	0	1
220	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006964.tif	0	1	0	1
221	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006965.tif	0	1	0	1
222	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006966.tif	0	1	0	1
223	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006967.tif	0	1	0	1
224	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006968.tif	0	1	0	1
227	File:ETH-BIB-Aarau, Industriegebiet-Inlandflüge-LBS MH03-0016.tif	0	1	0	1
230	File:ETH-BIB-Aarau, Kaserne, Hauptpost-LBS H1-010383.tif	0	1	0	1
233	File:ETH-BIB-Aarau, Katholische Kirche-LBS H1-011139.tif	0	1	0	1
235	File:ETH-BIB-Aarau, Krematorium-Inlandflüge-LBS MH03-1516.tif	0	1	0	1
236	File:ETH-BIB-Aarau, Kunath Kraftfutter-LBS H1-018511.tif	0	1	0	1
237	File:ETH-BIB-Aarau, Kunath Kraftfutter-LBS H1-018512.tif	0	1	0	1
239	File:ETH-BIB-Aarau, Oehler & Cie Stahlguss-Inlandflüge-LBS MH03-0014.tif	0	1	0	1
240	File:ETH-BIB-Aarau, Schachen von West aus 600 m-Inlandflüge-LBS MH01-000508.tif	0	1	0	1
243	File:ETH-BIB-Aarau, Schachen-LBS H1-022282.tif	0	1	0	1
244	File:ETH-BIB-Aarau, Schule-LBS H1-011141.tif	0	1	0	1
245	File:ETH-BIB-Aarau, Spital-LBS H1-019888.tif	0	1	0	1
246	File:ETH-BIB-Aarau, Spital-LBS H1-019889.tif	0	1	0	1
247	File:ETH-BIB-Aarau, Sportplatz, Sportbad-LBS H1-019914.tif	0	1	0	1
248	File:ETH-BIB-Aarau, Sprecher & Schuh AG Elektrotechnik-Inlandflüge-LBS MH03-0015.tif	0	1	0	1
