page	p1	p2	media_pv	file_per_page	page_type
/wiki/File:Alfred_Carrard_-_ETH_BIB_Portr_13025-059-AL-FL_(Johannes_Meiner).jpg	File:Alfred_Carrard_-_ETH_BIB_Portr_13025-059-AL-FL_(Johannes_Meiner).jpg	File:Alfred Carrard - ETH BIB Portr 13025-059-AL-FL (Johannes Meiner).jpg	13.52380952	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_March_8	Commons:WikiProject_Aviation/recent_uploads/2017_March_8	Commons:WikiProject Aviation/recent uploads/2017 March 8	13.3125	1	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2016_December_15	Commons:WikiProject_Aviation/recent_uploads/2016_December_15	Commons:WikiProject Aviation/recent uploads/2016 December 15	13.15789474	738	wikiproject
/wiki/File:Leo_Wehrli.jpg	File:Leo_Wehrli.jpg	File:Leo Wehrli.jpg	13	2	file
/wiki/File:ETH-BIB-Gnehm,_Robert_(1852-1926)-Portrait-Portr_01238.tif_(cropped).jpg	File:ETH-BIB-Gnehm,_Robert_(1852-1926)-Portrait-Portr_01238.tif_(cropped).jpg	File:ETH-BIB-Gnehm, Robert (1852-1926)-Portrait-Portr 01238.tif (cropped).jpg	12.53846154	2	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_December_14	Commons:WikiProject_Aviation/recent_uploads/2017_December_14	Commons:WikiProject Aviation/recent uploads/2017 December 14	12.42857143	1	wikiproject
/wiki/File:Joachim_von_Ribbentrop_in_1936.png	File:Joachim_von_Ribbentrop_in_1936.png	File:Joachim von Ribbentrop in 1936.png	12.375	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_8	Commons:WikiProject_Aviation/recent_uploads/2018_January_8	Commons:WikiProject Aviation/recent uploads/2018 January 8	12.33333333	6	wikiproject
/wiki/File:ETH-BIB-Herschel,_Caroline_(1750-1848)-Portrait-Portr_11026-092-SF.jpg	File:ETH-BIB-Herschel,_Caroline_(1750-1848)-Portrait-Portr_11026-092-SF.jpg	File:ETH-BIB-Herschel, Caroline (1750-1848)-Portrait-Portr 11026-092-SF.jpg	12.25	1	file
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_10_01:30	User:OgreBot/Uploads_by_new_users/2017_June_10_01:30	User:OgreBot/Uploads by new users/2017 June 10 01:30	12.07692308	1	user_page
/wiki/File:ETH-BIB-Prasil,_Franz_(1857-1929)-Portrait-Portr_01249.tif_(cropped).jpg	File:ETH-BIB-Prasil,_Franz_(1857-1929)-Portrait-Portr_01249.tif_(cropped).jpg	File:ETH-BIB-Prasil, Franz (1857-1929)-Portrait-Portr 01249.tif (cropped).jpg	12	2	file
/wiki/User:Pingelig/Recent_uploads/Canton_of_Thurgau/2018_March_11-20	User:Pingelig/Recent_uploads/Canton_of_Thurgau/2018_March_11-20	User:Pingelig/Recent uploads/Canton of Thurgau/2018 March 11-20	12	3	user_page
/wiki/File:ETH-BIB-Fiedler,_Wilhelm_(1832-1912)-Portrait-Portr_04712.tif	File:ETH-BIB-Fiedler,_Wilhelm_(1832-1912)-Portrait-Portr_04712.tif	File:ETH-BIB-Fiedler, Wilhelm (1832-1912)-Portrait-Portr 04712.tif	11.85714286	2	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_9	Commons:WikiProject_Aviation/recent_uploads/2018_January_9	Commons:WikiProject Aviation/recent uploads/2018 January 9	11.66666667	11	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_February_3/Overflow_1	Commons:WikiProject_Aviation/recent_uploads/2017_February_3/Overflow_1	Commons:WikiProject Aviation/recent uploads/2017 February 3/Overflow 1	11.58823529	3237	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_July_10	Commons:WikiProject_Aviation/recent_uploads/2017_July_10	Commons:WikiProject Aviation/recent uploads/2017 July 10	11.33333333	428	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_February_8	Commons:WikiProject_Aviation/recent_uploads/2018_February_8	Commons:WikiProject Aviation/recent uploads/2018 February 8	11	4	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2016_April_1	Commons:WikiProject_Aviation/recent_uploads/2016_April_1	Commons:WikiProject Aviation/recent uploads/2016 April 1	10.96296296	1	wikiproject
/wiki/File:Bohr_Brouwer_Zurich1932.tif	File:Bohr_Brouwer_Zurich1932.tif	File:Bohr Brouwer Zurich1932.tif	10.92307692	0	file
/wiki/Category:Otto_Rudolf_Salvisberg	Category:Otto_Rudolf_Salvisberg	Category:Otto Rudolf Salvisberg	10.83333333	1	category
/wiki/File:Franz_Prasil_-_ETH_BIB_Portr_01249_(Johannes_Meiner).jpg	File:Franz_Prasil_-_ETH_BIB_Portr_01249_(Johannes_Meiner).jpg	File:Franz Prasil - ETH BIB Portr 01249 (Johannes Meiner).jpg	10.78947368	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2016_August_23	Commons:WikiProject_Aviation/recent_uploads/2016_August_23	Commons:WikiProject Aviation/recent uploads/2016 August 23	10.7826087	1	wikiproject
/wiki/File:Franz_Max_Osswald_-_ETH_BIB_Portr_13145-PL_(Johannes_Meiner).jpg	File:Franz_Max_Osswald_-_ETH_BIB_Portr_13145-PL_(Johannes_Meiner).jpg	File:Franz Max Osswald - ETH BIB Portr 13145-PL (Johannes Meiner).jpg	10.61904762	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_February_10	Commons:WikiProject_Aviation/recent_uploads/2018_February_10	Commons:WikiProject Aviation/recent uploads/2018 February 10	10.6	4	wikiproject
/wiki/File:BassersdorffWFriedli-19470728i.tif	File:BassersdorffWFriedli-19470728i.tif	File:BassersdorffWFriedli-19470728i.tif	10.5	1	file
/wiki/File:ETH-BIB-Roth,_Otto_(1853-1927)-Portrait-Portr_01251.tif_(cropped).jpg	File:ETH-BIB-Roth,_Otto_(1853-1927)-Portrait-Portr_01251.tif_(cropped).jpg	File:ETH-BIB-Roth, Otto (1853-1927)-Portrait-Portr 01251.tif (cropped).jpg	10.38461538	2	file
/wiki/File:Internationaler_Mathematikerkongress_Zürich_1932_-_ETH_BIB_Portr_10680-C-FL_(Johannes_Meiner).jpg	File:Internationaler_Mathematikerkongress_Zürich_1932_-_ETH_BIB_Portr_10680-C-FL_(Johannes_Meiner).jpg	File:Internationaler Mathematikerkongress Zürich 1932 - ETH BIB Portr 10680-C-FL (Johannes Meiner).jpg	10.38095238	2	file
