73	ETH-BIB-Luftbild_von_Svalbard-Spitzbergenflug_1923-LBS_MH02-01-0033-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
74	ETH-BIB-Junkers_Spitzbergen_Expedition,_Aufnahme_mit_Goerz_Kamera_und_Goerz_Dogmar_1-4,5-Spitzbergenflug_1923-LBS_MH02-01-0082.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
75	ETH-BIB-Junkers_Spitzbergen_Expedition,_Aufnahme_mit_Goerz_Kamera_und_Goerz_Dogmar_1-4,5-Spitzbergenflug_1923-LBS_MH02-01-0082.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
76	ETH-BIB-Green-Harbour,_Kohlenstation_aus_800_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0007.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
77	ETH-BIB-Schiff_im_Hafen_von_Green_Harbour-Spitzbergenflug_1923-LBS_MH02-01-0050.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
78	ETH-BIB-Boregletscher_mit_Mt._Syltoppen_von_Süd-Westen_aus_1400_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0003-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
79	ETH-BIB-Esmarkgletscher_mit_Tundra_Erdmann_und_Boheman_und_Nordfjord_von_Süden_aus_1000_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0048.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
80	ETH-BIB-Yamerhafen-Esmarkgletscher-Vermlandkette_von_Osten_aus_800_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0010.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
81	ETH-BIB-Yamerhafen-Esmarkgletscher-Vermlandkette_von_Osten_aus_800_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0010.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
82	ETH-BIB-Funkstation_(alte_Walfangstation)_von_Green_Harbour-Spitzbergenflug_1923-LBS_MH02-01-0054.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
83	ETH-BIB-Green_Harbourfjord_von_Norden_aus_800_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0016-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
84	ETH-BIB-Green_Harbourfjord_von_Norden_aus_800_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0016-A.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
85	ETH-BIB-Lommebai_mit_Hinlopenstrasse-Andréeland_von_Süden_aus_1800_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0010-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
86	ETH-BIB-Ostküste_von_Neufriesland_zur_Hinlopenstrasse_von_Süd-Westen_aus_2000_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0015-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
87	ETH-BIB-Hinlopenstrasse_-_Nordostland_von_Westen_aus_2000_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0019-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
88	ETH-BIB-Hinlopenstrasse_-_Nordostland_Flache_Spitze_von_Westen_aus_2200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0021-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
