90	File:ETH-BIB-Aarburg, Übersicht v. S. aus 500 m-Inlandflüge-LBS MH01-002905.tif	87129485	6381	4544
91	File:ETH-BIB-Aare bei Büren-Inlandflüge-LBS MH01-006763.tif	74838867	5687	4380
92	File:ETH-BIB-Aarelauf bei Oltigen, Wohlensee-Inlandflüge-LBS MH01-006784.tif	87639892	6162	4733
93	File:ETH-BIB-Aarelauf bei Oltigen-Inlandflüge-LBS MH01-006783.tif	91147513	6336	4790
94	File:ETH-BIB-Aaretal zwischen Aarau und Wildegg-Inlandflüge-LBS MH03-1867.tif	69479443	5802	3984
95	File:ETH-BIB-Aaretal, Grenchen, Bielersee v. O. aus 2000 m-Inlandflüge-LBS MH01-004066.tif	86161637	6378	4497
96	File:ETH-BIB-Aargauer Reusstal mit Oberrohrdorf-Weitere-LBS MH02-43-0004.tif	49110670	4961	3292
97	File:ETH-BIB-Aarwangen aus 300 m-Inlandflüge-LBS MH01-002992.tif	85315054	4520	6279
98	File:ETH-BIB-Aarwangen, Ernst & Cie. Handstrickgarnfabrik-Inlandflüge-LBS MH03-0022.tif	96191115	6813	4701
99	File:ETH-BIB-Aarwangen, Langenthal v. N. O. aus 3000 m-Inlandflüge-LBS MH01-003185.tif	98271360	6871	4761
100	File:ETH-BIB-Aarwangen, Mumenthal aus 2000 m-Inlandflüge-LBS MH01-003258.tif	86459877	6498	4428
101	File:ETH-BIB-Aarwangen, Mummental aus 400 m-Inlandflüge-LBS MH01-002990.tif	85067083	6310	4485
102	File:ETH-BIB-Aarwangen, Schwarzhäusern aus 400 m-Inlandflüge-LBS MH01-002991.tif	84314852	6272	4472
103	File:ETH-BIB-Aarwangen, Übersicht-Inlandflüge-LBS MH01-006874.tif	103408188	6814	5052
104	File:ETH-BIB-Aasgeier auf einer Mauer-Tschadseeflug 1930-31-LBS MH02-08-0624.tif	53358729	4961	3578
105	File:ETH-BIB-Aathal bei Wetzikon, Spinnerei Floos-Inlandflüge-LBS MH03-0023.tif	102380878	6961	4898
106	File:ETH-BIB-Aathal bei Wetzikon, Spinnerei Floos-Inlandflüge-LBS MH03-1037.tif	84588960	6368	4421
107	File:ETH-BIB-Aathal Seegräben v. S. aus 300 m-Inlandflüge-LBS MH01-001432.tif	89740749	6644	4494
108	File:ETH-BIB-Aathal Seegräben, Pfäffikon, Pfäffikersee-Inlandflüge-LBS MH01-000429.tif	94809471	6654	4745
109	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1560.tif	89711786	6518	4581
110	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1578.tif	77012205	6072	4221
111	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1608.tif	77015157	6101	4201
112	File:ETH-BIB-Aathal, Spinnerei Unteraathal-Inlandflüge-LBS MH03-1568.tif	83189760	4368	6337
113	File:ETH-BIB-Aathal, Spinnereien-Inlandflüge-LBS MH03-1565.tif	82890817	6315	4368
114	File:ETH-BIB-Abadeh aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0170-AL-FL.tif	52216476	4961	3508
115	File:ETH-BIB-Abendstimmung am Cap Juby-Tschadseeflug 1930-31-LBS MH02-08-1052.tif	53410271	4961	3581
116	File:ETH-BIB-Abessinienflug, Luftaufnahme-Abessinienflug 1934-LBS MH02-22-0004.tif	52874306	4961	3545
117	File:ETH-BIB-Abessinienflug, Luftaufnahme-Abessinienflug 1934-LBS MH02-22-0006.tif	52649589	4961	3530
118	File:ETH-BIB-Abessinienflug, Luftaufnahme-Abessinienflug 1934-LBS MH02-22-0007.tif	53116081	4961	3560
119	File:ETH-BIB-Abessinier an einfachem Grab-Abessinienflug 1934-LBS MH02-22-0281.tif	53151659	4108	4302
120	File:ETH-BIB-Abessinier auf einer Strasse, Hochplateau der Shewa-Abessinienflug 1934-LBS MH02-22-0274.tif	52818457	4082	4304
121	File:ETH-BIB-Abessinier auf Terasse-Abessinienflug 1934-LBS MH02-22-0808.tif	66369243	4585	4817
122	File:ETH-BIB-Abessinier beim Aufrichten eines Daches-Abessinienflug 1934-LBS MH02-22-0653.tif	56421467	4217	4450
123	File:ETH-BIB-Abessinier beim Essen-Abessinienflug 1934-LBS MH02-22-0759.tif	25393560	3347	2520
124	File:ETH-BIB-Abessinier demonstrieren Wundbrennen für Kamera-Abessinienflug 1934-LBS MH02-22-1066.tif	49695687	4961	3332
125	File:ETH-BIB-Abessinier demonstrieren Wundbrennen für Kamera-Abessinienflug 1934-LBS MH02-22-1067.tif	49598257	4961	3324
126	File:ETH-BIB-Abessinier hinter Gebüsch-Abessinienflug 1934-LBS MH02-22-1059.tif	49528788	4961	3321
127	File:ETH-BIB-Abessinier in Innenhof-Abessinienflug 1934-LBS MH02-22-0410.tif	52561319	3523	4961
128	File:ETH-BIB-Abessinier mit Kamera-Abessinienflug 1934-LBS MH02-22-1029.tif	49687273	3331	4961
129	File:ETH-BIB-Abessinier mit Maultier-Abessinienflug 1934-LBS MH02-22-0663.tif	56396693	4206	4461
130	File:ETH-BIB-Abessinier mit Maultier-Abessinienflug 1934-LBS MH02-22-0664.tif	56535541	4220	4457
131	File:ETH-BIB-Abessinier mit Maultier-Abessinienflug 1934-LBS MH02-22-0686.tif	56620397	4220	4464
132	File:ETH-BIB-Abessinier mit Messer in der Hand-Abessinienflug 1934-LBS MH02-22-1117.tif	41862503	3060	4549
133	File:ETH-BIB-Abessinier mit Messer in der Hand-Abessinienflug 1934-LBS MH02-22-1118.tif	41711829	4551	3048
134	File:ETH-BIB-Abessinier neben Auto-Abessinienflug 1934-LBS MH02-22-0963.tif	49575707	4961	3324
135	File:ETH-BIB-Abessinier neben Auto-Abessinienflug 1934-LBS MH02-22-0964.tif	49955023	3349	4961
136	File:ETH-BIB-Abessinier neben Auto-Abessinienflug 1934-LBS MH02-22-0965.tif	49684749	4961	3331
137	File:ETH-BIB-Abessinier neben einem Auto-Abessinienflug 1934-LBS MH02-22-0284.tif	52124436	4053	4279
138	File:ETH-BIB-Abessinier neben einem Auto-Abessinienflug 1934-LBS MH02-22-0293.tif	52905772	4085	4309
139	File:ETH-BIB-Abessinier neben einem Auto-Abessinienflug 1934-LBS MH02-22-0294-A.tif	52237755	4037	4305
140	File:ETH-BIB-Abessinier posiert mit Maultier für Kamera-Abessinienflug 1934-LBS MH02-22-1106.tif	42937181	4605	3101
141	File:ETH-BIB-Abessinier und Mitreisende Mittelholzers-Abessinienflug 1934-LBS MH02-22-0384.tif	53073379	4100	4305
142	File:ETH-BIB-Abessinier und Reisebegleiter Mittelholzers vor Auto-Abessinienflug 1934-LBS MH02-22-0623.tif	56463639	4220	4452
143	File:ETH-BIB-Abessinier und Soldaten, Besucherin-Abessinienflug 1934-LBS MH02-22-1009.tif	49981304	4961	3349
144	File:ETH-BIB-Abessinier vor Auto-Abessinienflug 1934-LBS MH02-22-0960.tif	49731907	4961	3335
145	File:ETH-BIB-Abessinier vor Auto-Abessinienflug 1934-LBS MH02-22-0961.tif	49780972	3339	4961
